index,Institution,Faculty Name,Field,HomePage,Research Interests,Scholar Url,h_index,i10_index,Image
0,Indian Institute of Technology Gandhinagar,Ashutosh Srivastava,Biological Engineering,https://iitgn.ac.in/faculty/bioe/fac-ashutosh,"['Integrative modeling of macromolecular complexes.', 'Network analysis of protein structures.', 'Dynamics driven drug discovery.', 'Modeling and conformational analysis of disordered regions.']",https://scholar.google.co.in/citations?user=tVd5fZcAAAAJ,10,10,https://iitgn.ac.in/media/pages/faculty/bioe/fac-ashutosh/3922560040-1679554160/1Ashutosh.jpg
1,Indian Institute of Technology Gandhinagar,Bhaskar Datta,Biological Engineering,https://iitgn.ac.in/faculty/bioe/fac-bhaskar,"['Investigation of groove-modified nucleobases on Y-family DNA polymerase activity', 'Construction of metal nanowires based on biomolecular templates', 'Structure-function correlations of unorthodox DNA structures', 'Aptamer-based sensors and detection strategies for infectious diseases', 'Enzymatic remediation of phenolic wastewater']",https://scholar.google.co.in/citations?user=S4LXgQQAAAAJ,12,16,https://iitgn.ac.in/media/pages/faculty/bioe/fac-bhaskar/1847654198-1679554160/bhaskar.JPG
2,Indian Institute of Technology Gandhinagar,Dhiraj Bhatia,Biological Engineering,https://iitgn.ac.in/faculty/bioe/fac-dhiraj,"['DNA nanotechnology', 'Chemical biology']",https://scholar.google.co.in/citations?user=9_cYtYcAAAAJ,15,20,https://iitgn.ac.in/media/pages/faculty/bioe/fac-dhiraj/396853053-1679554160/dhiraj.JPG
3,Indian Institute of Technology Gandhinagar,Karla P. Mercado-Shekhar,Biological Engineering,https://iitgn.ac.in/faculty/bioe/fac-karla,"['Tissue elasticity imaging', 'Shear wave imaging', 'Quantitative ultrasound techniques', 'High-frequency ultrasound imaging', 'Tissue characterization']",https://scholar.google.co.in/citations?user=UPfz-FcAAAAJ,9,8,https://iitgn.ac.in/media/pages/faculty/bioe/fac-karla/2108285146-1679554160/karla.jpg
4,Indian Institute of Technology Gandhinagar,Mukesh Dhanka,Biological Engineering,https://iitgn.ac.in/faculty/bioe/fac-mukesh,"['Allograft Therapy', 'Biomaterials', 'Drug Delivery', 'Bio-nanotechnology', 'Orthopedic Applications', 'Regenerative Medicine', 'Photo-thermal Therapy', 'Cancer']",https://scholar.google.co.in/citations?user=Sj73KM8AAAAJ,7,6,https://iitgn.ac.in/media/pages/faculty/bioe/fac-mukesh/4095272598-1679554160/mukesh.jpg
5,Indian Institute of Technology Gandhinagar,Pratik Mutha,Biological Engineering,https://iitgn.ac.in/faculty/bioe/fac-pratik,"['Sensorimotor control and learning', 'Movement disorders after neurological damage', 'Brain lateralization']",https://scholar.google.co.in/citations?user=PejUtIQAAAAJ,16,18,https://iitgn.ac.in/media/pages/faculty/bioe/fac-pratik/78470844-1679554160/prateek.JPG
6,Indian Institute of Technology Gandhinagar,Sharad Gupta,Biological Engineering,https://iitgn.ac.in/faculty/bioe/fac-sharad,"['Protein aggregation and their role in neurodegenerative disorders', 'Role of post translational modifications on protein aggregation and toxicity', ""Peptides as molecular probes / therapeutics in Alzheimer's disease and related disorders"", 'Role of proteomics in understanding the effect of disease modifying therapies', 'Difficult peptide synthesis and novel scaffolds']",https://scholar.google.co.in/citations?user=z6DOwooAAAAJ,14,18,https://iitgn.ac.in/media/pages/faculty/bioe/fac-sharad/3187687544-1679554160/sharad.JPG
7,Indian Institute of Technology Gandhinagar,Sharmistha Majumdar,Biological Engineering,https://iitgn.ac.in/faculty/bioe/fac-sharmistha,"['Evolution of mobile genetic elements/ transposons: mechanisms of transposition and control', 'Modifications of function in transposase homologs', 'Biochemical/biophysical/structural characterization of nucleotide-binding & nucleic acid binding proteins', 'Genomic and proteomic analysis of transposases and transposase homologs', 'THAP-9']",https://scholar.google.co.in/citations?user=fHxCJcQAAAAJ,5,4,https://iitgn.ac.in/media/pages/faculty/bioe/fac-sharmistha/3352002045-1679554160/sharmistha.JPG
8,Indian Institute of Technology Gandhinagar,Subramanian Sankaranarayanan,Biological Engineering,https://iitgn.ac.in/faculty/bioe/fac-subramanian,"['Plant Developmental Biology', 'Biotechnology', 'Genetics', 'Molecular Biology', 'Cell Biology']",https://scholar.google.co.in/citations?user=hNXJjwwAAAAJ,11,14,https://iitgn.ac.in/media/pages/faculty/bioe/fac-subramanian/3118450367-1679554160/Subramanian.jpg
9,Indian Institute of Technology Gandhinagar,Umashankar Singh,Biological Engineering,https://iitgn.ac.in/faculty/bioe/fac-umashankar,"['Cytoprotection', 'Cellular stress response and gene expression vis-à-vis retrotransposon evolution', 'Co-ordination between different cellular processes by multifunctional proteins']",https://scholar.google.co.in/citations?user=SWRaGzoAAAAJ,13,15,https://iitgn.ac.in/media/pages/faculty/bioe/fac-umashankar/1587086601-1679554160/umashankar.jpg
